,GHM,acte_classant,duree_mediane
781,06C07,HGCC026,4.0
782,11C02,JCFA008,12.0
783,03C12,FAFA002,1.0
784,03C09,GAMA022,1.0
785,03C07,LAFA020,1.0
786,02C03,BHGA004,1.0
787,03C10,FAFA008,1.0
788,11C02,JAFC019,5.0
789,09C06,QEFA002,1.0
790,11C11,JCGE006,1.0
791,08C43,MJEA011,1.0
792,06C21,HPFA003,4.0
793,02C08,BAEA001,1.0
794,09C03,GAMA021,1.0
795,09C05,QEFA001,1.0
796,07C09,HLFC027,6.0
797,06C04,HGCC031,50.5
798,08C46,PCCA001,1.0
799,09C08,QBFA002,7.0
800,12C06,JHEA002,1.0
801,09C06,QEKA001,1.0
802,09C03,CAFA002,1.0
803,13C04,JLCA004,2.0
804,03C20,CBFA002,1.0
805,06C22,HFMC001,3.0
806,11C03,JAFC008,2.0
807,17C08,HDQE001,2.0
808,06C04,HHFA017,6.0
809,11C13,JDJE001,7.0
810,06K02,HEQJ001,1.0
811,05C12,NZFA007,14.0
812,11C13,JDFE001,2.0
813,06C07,HJDC001,4.0
814,06C04,HHCA001,3.0
815,07C11,HGFA014,12.5
816,03K02,HBGD106,1.0
817,11C11,JDGE001,1.0
818,03C29,GAQE001,1.0
819,03C26,HDFA009,1.0
820,11C02,JDFA023,16.0
821,04C02,GFFA013,7.5
822,02C08,BAMA004,1.0
823,06K02,HEQE002,1.0
824,11C02,JAFA008,6.0
825,07C10,HNFC028,9.0
826,09C06,QZFA036,1.0
827,11C02,JDFA020,9.0
828,07K02,HMGE002,1.0
829,08C22,NFKA005,5.0
830,07C09,HMCA006,7.5
831,13C08,JMPA003,1.0
832,06C04,HHFA008,5.0
833,06C03,HHFA031,16.0
834,08C61,NCPA008,7.0
835,03K02,HBGD374,1.0
836,06C22,HFCA004,31.0
837,06C04,HHFA024,20.0
838,03C13,HDJA001,2.0
839,03C09,GAMA005,1.0
840,13C03,JKFA014,4.5
841,08C37,NHFA001,1.0
842,03K02,HBGD441,1.0
843,06K02,HHFE006,1.0
844,06C24,LMGA001,4.0
845,10C10,QBFA003,3.0
846,06C16,HEFA003,14.0
847,03C07,GBJE002,1.0
848,06C09,HHFA016,1.0
849,06C03,HHFA014,7.5
850,10C09,HFMC007,1.0
851,06C14,HJFD002,1.5
852,11C02,JFFA018,18.0
853,07C10,HLFC003,3.0
854,13C07,HPNC001,1.5
855,07C09,HNFA008,29.0
856,08C02,NEKA005,8.0
857,06C03,HHFA011,21.0
858,05C12,NZFA005,37.0
859,03C13,FASD001,3.0
860,09C14,QZFA035,1.0
861,03C19,LBPA035,3.0
862,05C11,ENFA001,8.0
863,11K05,JDQE003,1.0
864,04C02,GFFA029,5.0
865,06C15,HPFC001,2.0
866,03C20,CBMA011,1.0
867,11C02,JAFC001,6.0
868,06K02,HGLE001,1.0
869,13C08,JMPA001,1.0
870,06C04,HHCA002,8.0
871,05K06,EEAF006,2.5
872,08C62,NHMA006,2.0
873,03C25,GDFA008,25.0
874,11C02,JAFA005,10.0
875,07C09,HLFA009,10.0
876,11C13,JCLD001,2.0
877,08C35,MJEA006,1.0
878,03C20,CBMA009,1.0
879,03K02,HBGD499,1.0
880,06K02,HESE002,1.0
881,06C16,HFFA005,13.5
882,06C08,HHFA025,2.0
883,06C22,HEFA005,11.0
884,02C08,BBCE001,1.0
885,06C04,HEFE001,9.5
886,13C04,JLCA009,2.0
887,09C03,GAMA012,1.0
888,09C09,CAMA022,1.0
889,13C07,JJFC004,2.0
890,17C06,JFFA021,10.0
891,08C49,NBCA005,4.0
892,04C02,GFFA024,5.5
893,13C17,JDDB007,1.5
894,02C10,BEFA007,1.0
895,11C11,JCEE001,2.0
896,13C18,JKFA022,5.0
897,03C07,HASA018,1.0
898,03C25,HDFA019,21.0
899,03K02,HBGD197,1.0
900,08C42,MJEA019,1.0
901,08C58,MEMC003,1.0
902,03C24,HCFA009,2.0
903,11C03,JAGF001,5.0
904,03C09,GAMA024,1.0
905,09C09,GAFA001,1.0
906,08C44,MJFA006,1.0
907,03C20,CBMD003,1.0
908,02C08,BAFA006,1.0
909,09C06,QEMA013,2.0
910,07C09,HLFA010,12.0
911,04C04,GFFC002,4.0
912,03C07,LAFA022,1.0
913,10C13,HFFC018,1.0
914,06C04,HGPC015,2.0
915,13C05,JKFA019,3.0
916,09C08,QBFA004,1.0
917,08C53,NCCA003,1.0
918,03K02,HBGD461,1.0
919,11C02,JDFA003,14.0
920,03C20,CBFA007,1.0
921,06C14,HKPA005,1.0
922,04C04,GGNC001,7.0
